ID	Distribution	Ecozone	Continent
Bom32			
Bom119			
Bom13_80			
Boreus_cal			
Bom05_82			
Bom108			
Bom138			
Bom107			
F166	Brazilian subregion,Brazil,East-Asian subregion,China,Japan,Andean subregion,Chile,Ecuador,West-American subregion,USA,Amazonian subregion,Carribean subregion,Antillean,East-American subregion,Paraguay,Guyana,Colombia,Peru,Jamaica,Mexico	Palearctic,Nearctic,Neotropic,Indomalaya	Asia,North America,South America
F021	Brazilian subregion,Brazil,East-Asian subregion,China,Japan,Andean subregion,Chile,Ecuador,West-American subregion,USA,Amazonian subregion,Carribean subregion,Antillean,East-American subregion,Paraguay,Guyana,Colombia,Peru,Jamaica,Mexico	Palearctic,Nearctic,Neotropic,Indomalaya	Asia,North America,South America
F167	Brazilian subregion,Brazil,East-Asian subregion,China,Japan,Andean subregion,Chile,Ecuador,West-American subregion,USA,Amazonian subregion,Carribean subregion,Antillean,East-American subregion,Paraguay,Guyana,Colombia,Peru,Jamaica,Mexico	Palearctic,Nearctic,Neotropic,Indomalaya	Asia,North America,South America
F281	Patagonian subregion,Andean subregion,Argentina,Bolivia,Peru,Carribean subregion,Mexico,Brazilian subregion,Brazil,Chile,Amazonian subregion,Ecuador,Trinidad,Tobago,Venezuela	Palearctic,Nearctic,Neotropic	South America
F461	Patagonian subregion,Andean subregion,Argentina,Bolivia,Peru,Carribean subregion,Mexico,Brazilian subregion,Brazil,Chile,Amazonian subregion,Ecuador,Trinidad,Tobago,Venezuela	Palearctic,Nearctic,Neotropic	South America
F208	East-Mediterranean province,Cyprus,East-African subregion,Kenya,Nigeria,Senegal,Guinea-Bissau,Ghana,Angola,Indian subregion,Sahara-Arabian subregion,Iranian province,Turanian province,Iran,Iraq,Myanmar,Sri Lanka,India,Oman,Central-Australian subregion,West-Australian subregion,East-Australian subregion,Australia,Yemen,Uganda,Cape subregion,Botswana,West-Mediterranean province,Morocco,Earth,Central-Asian subregion,Russia,Ethiopia,Tunesia,Armenia,Azerbaijan,Turkmenistan,Afghanistan,China,Kirghizstan,Tajikistan,Uzbekistan,Kazakhstan,Zimbabwe,Zambia,South Africa,Tanzania,Namibia,Sudan,Egypt,Palestine,Israel,Jordan,Lesotho,Canary Islands,Cameroon,Malayan subregion,Christmas Island,Malawi,Papuan subregion,Papua New Guinea,Madagascar,Mozambique,Zaire,Hawaiian Islands	Palearctic,Nearctic,Afrotropic,Neotropic,Australasia,Indomalaya	Africa,Asia,Europe,North America,Oceania,South America
F204	East-Mediterranean province,Cyprus,East-African subregion,Kenya,Nigeria,Senegal,Guinea-Bissau,Ghana,Angola,Indian subregion,Sahara-Arabian subregion,Iranian province,Turanian province,Iran,Iraq,Myanmar,Sri Lanka,India,Oman,Central-Australian subregion,West-Australian subregion,East-Australian subregion,Australia,Yemen,Uganda,Cape subregion,Botswana,West-Mediterranean province,Morocco,Earth,Central-Asian subregion,Russia,Ethiopia,Tunesia,Armenia,Azerbaijan,Turkmenistan,Afghanistan,China,Kirghizstan,Tajikistan,Uzbekistan,Kazakhstan,Zimbabwe,Zambia,South Africa,Tanzania,Namibia,Sudan,Egypt,Palestine,Israel,Jordan,Lesotho,Canary Islands,Cameroon,Malayan subregion,Christmas Island,Malawi,Papuan subregion,Papua New Guinea,Madagascar,Mozambique,Zaire,Hawaiian Islands	Palearctic,Nearctic,Afrotropic,Neotropic,Australasia,Indomalaya	Africa,Asia,Europe,North America,Oceania,South America
F205	East-Mediterranean province,Cyprus,East-African subregion,Kenya,Nigeria,Senegal,Guinea-Bissau,Ghana,Angola,Indian subregion,Sahara-Arabian subregion,Iranian province,Turanian province,Iran,Iraq,Myanmar,Sri Lanka,India,Oman,Central-Australian subregion,West-Australian subregion,East-Australian subregion,Australia,Yemen,Uganda,Cape subregion,Botswana,West-Mediterranean province,Morocco,Earth,Central-Asian subregion,Russia,Ethiopia,Tunesia,Armenia,Azerbaijan,Turkmenistan,Afghanistan,China,Kirghizstan,Tajikistan,Uzbekistan,Kazakhstan,Zimbabwe,Zambia,South Africa,Tanzania,Namibia,Sudan,Egypt,Palestine,Israel,Jordan,Lesotho,Canary Islands,Cameroon,Malayan subregion,Christmas Island,Malawi,Papuan subregion,Papua New Guinea,Madagascar,Mozambique,Zaire,Hawaiian Islands	Palearctic,Nearctic,Afrotropic,Neotropic,Australasia,Indomalaya	Africa,Asia,Europe,North America,Oceania,South America
F206	East-Mediterranean province,Cyprus,East-African subregion,Kenya,Nigeria,Senegal,Guinea-Bissau,Ghana,Angola,Indian subregion,Sahara-Arabian subregion,Iranian province,Turanian province,Iran,Iraq,Myanmar,Sri Lanka,India,Oman,Central-Australian subregion,West-Australian subregion,East-Australian subregion,Australia,Yemen,Uganda,Cape subregion,Botswana,West-Mediterranean province,Morocco,Earth,Central-Asian subregion,Russia,Ethiopia,Tunesia,Armenia,Azerbaijan,Turkmenistan,Afghanistan,China,Kirghizstan,Tajikistan,Uzbekistan,Kazakhstan,Zimbabwe,Zambia,South Africa,Tanzania,Namibia,Sudan,Egypt,Palestine,Israel,Jordan,Lesotho,Canary Islands,Cameroon,Malayan subregion,Christmas Island,Malawi,Papuan subregion,Papua New Guinea,Madagascar,Mozambique,Zaire,Hawaiian Islands	Palearctic,Nearctic,Afrotropic,Neotropic,Australasia,Indomalaya	Africa,Asia,Europe,North America,Oceania,South America
F324	East-Mediterranean province,Cyprus,East-African subregion,Kenya,Nigeria,Senegal,Guinea-Bissau,Ghana,Angola,Indian subregion,Sahara-Arabian subregion,Iranian province,Turanian province,Iran,Iraq,Myanmar,Sri Lanka,India,Oman,Central-Australian subregion,West-Australian subregion,East-Australian subregion,Australia,Yemen,Uganda,Cape subregion,Botswana,West-Mediterranean province,Morocco,Earth,Central-Asian subregion,Russia,Ethiopia,Tunesia,Armenia,Azerbaijan,Turkmenistan,Afghanistan,China,Kirghizstan,Tajikistan,Uzbekistan,Kazakhstan,Zimbabwe,Zambia,South Africa,Tanzania,Namibia,Sudan,Egypt,Palestine,Israel,Jordan,Lesotho,Canary Islands,Cameroon,Malayan subregion,Christmas Island,Malawi,Papuan subregion,Papua New Guinea,Madagascar,Mozambique,Zaire,Hawaiian Islands	Palearctic,Nearctic,Afrotropic,Neotropic,Australasia,Indomalaya	Africa,Asia,Europe,North America,Oceania,South America
F319	East-Mediterranean province,Cyprus,East-African subregion,Kenya,Nigeria,Senegal,Guinea-Bissau,Ghana,Angola,Indian subregion,Sahara-Arabian subregion,Iranian province,Turanian province,Iran,Iraq,Myanmar,Sri Lanka,India,Oman,Central-Australian subregion,West-Australian subregion,East-Australian subregion,Australia,Yemen,Uganda,Cape subregion,Botswana,West-Mediterranean province,Morocco,Earth,Central-Asian subregion,Russia,Ethiopia,Tunesia,Armenia,Azerbaijan,Turkmenistan,Afghanistan,China,Kirghizstan,Tajikistan,Uzbekistan,Kazakhstan,Zimbabwe,Zambia,South Africa,Tanzania,Namibia,Sudan,Egypt,Palestine,Israel,Jordan,Lesotho,Canary Islands,Cameroon,Malayan subregion,Christmas Island,Malawi,Papuan subregion,Papua New Guinea,Madagascar,Mozambique,Zaire,Hawaiian Islands	Palearctic,Nearctic,Afrotropic,Neotropic,Australasia,Indomalaya	Africa,Asia,Europe,North America,Oceania,South America
F029	East-Mediterranean province,Cyprus,East-African subregion,Kenya,Nigeria,Senegal,Guinea-Bissau,Ghana,Angola,Indian subregion,Sahara-Arabian subregion,Iranian province,Turanian province,Iran,Iraq,Myanmar,Sri Lanka,India,Oman,Central-Australian subregion,West-Australian subregion,East-Australian subregion,Australia,Yemen,Uganda,Cape subregion,Botswana,West-Mediterranean province,Morocco,Earth,Central-Asian subregion,Russia,Ethiopia,Tunesia,Armenia,Azerbaijan,Turkmenistan,Afghanistan,China,Kirghizstan,Tajikistan,Uzbekistan,Kazakhstan,Zimbabwe,Zambia,South Africa,Tanzania,Namibia,Sudan,Egypt,Palestine,Israel,Jordan,Lesotho,Canary Islands,Cameroon,Malayan subregion,Christmas Island,Malawi,Papuan subregion,Papua New Guinea,Madagascar,Mozambique,Zaire,Hawaiian Islands	Palearctic,Nearctic,Afrotropic,Neotropic,Australasia,Indomalaya	Africa,Asia,Europe,North America,Oceania,South America
F133	East-Mediterranean province,Cyprus,East-African subregion,Kenya,Nigeria,Senegal,Guinea-Bissau,Ghana,Angola,Indian subregion,Sahara-Arabian subregion,Iranian province,Turanian province,Iran,Iraq,Myanmar,Sri Lanka,India,Oman,Central-Australian subregion,West-Australian subregion,East-Australian subregion,Australia,Yemen,Uganda,Cape subregion,Botswana,West-Mediterranean province,Morocco,Earth,Central-Asian subregion,Russia,Ethiopia,Tunesia,Armenia,Azerbaijan,Turkmenistan,Afghanistan,China,Kirghizstan,Tajikistan,Uzbekistan,Kazakhstan,Zimbabwe,Zambia,South Africa,Tanzania,Namibia,Sudan,Egypt,Palestine,Israel,Jordan,Lesotho,Canary Islands,Cameroon,Malayan subregion,Christmas Island,Malawi,Papuan subregion,Papua New Guinea,Madagascar,Mozambique,Zaire,Hawaiian Islands	Palearctic,Nearctic,Afrotropic,Neotropic,Australasia,Indomalaya	Africa,Asia,Europe,North America,Oceania,South America
