ID	Total	Aves	Monotremata	Metatheria	Eutheria	Xenarthra	Afrotheria	Laurasiatheria	Euarchontoglires	Rodentia	Carnivora	Chiroptera	Lagomorpha	Soricomorpha	Highest	Dominant (>= 2x 2nd)	Major (>= 10%)
Bom32	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Bom119	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Bom13_80	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Boreus_cal	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Bom05_82	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Bom108	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Bom138	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Bom107	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
F166	30	1	0	0	29	4	0	7	18	15	2	0	0	1	Eutheria	Eutheria	Eutheria
F021	30	1	0	0	29	4	0	7	18	15	2	0	0	1	Eutheria	Eutheria	Eutheria
F167	30	1	0	0	29	4	0	7	18	15	2	0	0	1	Eutheria	Eutheria	Eutheria
F281	49	15	0	0	34	1	0	11	22	21	2	9	0	0	Eutheria	Eutheria	Aves,Eutheria
F461	49	15	0	0	34	1	0	11	22	21	2	9	0	0	Eutheria	Eutheria	Aves,Eutheria
F208	413	26	0	8	379	0	0	56	323	314	43	4	7	5	Eutheria	Eutheria	Eutheria
F204	413	26	0	8	379	0	0	56	323	314	43	4	7	5	Eutheria	Eutheria	Eutheria
F205	413	26	0	8	379	0	0	56	323	314	43	4	7	5	Eutheria	Eutheria	Eutheria
F206	413	26	0	8	379	0	0	56	323	314	43	4	7	5	Eutheria	Eutheria	Eutheria
F324	413	26	0	8	379	0	0	56	323	314	43	4	7	5	Eutheria	Eutheria	Eutheria
F319	413	26	0	8	379	0	0	56	323	314	43	4	7	5	Eutheria	Eutheria	Eutheria
F029	413	26	0	8	379	0	0	56	323	314	43	4	7	5	Eutheria	Eutheria	Eutheria
F133	413	26	0	8	379	0	0	56	323	314	43	4	7	5	Eutheria	Eutheria	Eutheria
F286	2	0	0	0	2	0	0	0	2	2	0	0	0	0	Eutheria	Eutheria	Eutheria
F054	12	0	0	0	12	0	1	1	10	10	0	0	0	0	Eutheria	Eutheria	Eutheria
Puf01	262	9	2	10	241	2	9	154	76	53	131	3	15	2	Eutheria	Eutheria	Eutheria
F222	262	9	2	10	241	2	9	154	76	53	131	3	15	2	Eutheria	Eutheria	Eutheria
MerA1	262	9	2	10	241	2	9	154	76	53	131	3	15	2	Eutheria	Eutheria	Eutheria
F326	23	0	0	0	23	0	0	18	5	4	7	1	1	1	Eutheria	Eutheria	Eutheria
F320	211	20	5	28	158	0	2	68	88	70	57	3	13	0	Eutheria	Eutheria	Metatheria,Eutheria
F058	211	20	5	28	158	0	2	68	88	70	57	3	13	0	Eutheria	Eutheria	Metatheria,Eutheria
F139	211	20	5	28	158	0	2	68	88	70	57	3	13	0	Eutheria	Eutheria	Metatheria,Eutheria
Puf30	184	14	1	11	157	4	0	79	74	64	63	2	7	2	Eutheria	Eutheria	Eutheria
F464	184	14	1	11	157	4	0	79	74	64	63	2	7	2	Eutheria	Eutheria	Eutheria
F130	20	3	0	0	17	0	0	8	9	5	6	0	4	1	Eutheria	Eutheria	Aves,Eutheria
F037	45	0	0	1	44	0	0	14	30	9	14	0	21	0	Eutheria	Eutheria	Eutheria
F047	32	0	0	0	32	0	0	7	25	21	7	0	4	0	Eutheria	Eutheria	Eutheria
F283	79	2	0	0	77	0	0	5	72	72	5	0	0	0	Eutheria	Eutheria	Eutheria
F274	79	2	0	0	77	0	0	5	72	72	5	0	0	0	Eutheria	Eutheria	Eutheria
F282	79	2	0	0	77	0	0	5	72	72	5	0	0	0	Eutheria	Eutheria	Eutheria
F278	79	2	0	0	77	0	0	5	72	72	5	0	0	0	Eutheria	Eutheria	Eutheria
F162	79	2	0	0	77	0	0	5	72	72	5	0	0	0	Eutheria	Eutheria	Eutheria
F110	79	2	0	0	77	0	0	5	72	72	5	0	0	0	Eutheria	Eutheria	Eutheria
F112	79	2	0	0	77	0	0	5	72	72	5	0	0	0	Eutheria	Eutheria	Eutheria
F273	11	2	0	0	9	0	0	0	9	9	0	0	0	0	Eutheria	Eutheria	Aves,Eutheria
F277	11	2	0	0	9	0	0	0	9	9	0	0	0	0	Eutheria	Eutheria	Aves,Eutheria
F056	129	119	0	2	8	0	0	0	8	4	0	0	0	0	Aves	Aves	Aves
Rhf62	129	119	0	2	8	0	0	0	8	4	0	0	0	0	Aves	Aves	Aves
F267	65	0	0	0	65	0	0	0	65	65	0	0	0	0	Eutheria	Eutheria	Eutheria
F333	65	0	0	0	65	0	0	0	65	65	0	0	0	0	Eutheria	Eutheria	Eutheria
F265	65	0	0	0	65	0	0	0	65	65	0	0	0	0	Eutheria	Eutheria	Eutheria
F209	381	6	0	52	323	7	0	28	288	282	22	5	4	0	Eutheria	Eutheria	Metatheria,Eutheria
F294	381	6	0	52	323	7	0	28	288	282	22	5	4	0	Eutheria	Eutheria	Metatheria,Eutheria
Rhf81	381	6	0	52	323	7	0	28	288	282	22	5	4	0	Eutheria	Eutheria	Metatheria,Eutheria
F104	381	6	0	52	323	7	0	28	288	282	22	5	4	0	Eutheria	Eutheria	Metatheria,Eutheria
F105	381	6	0	52	323	7	0	28	288	282	22	5	4	0	Eutheria	Eutheria	Metatheria,Eutheria
F330	113	1	0	14	98	10	0	36	52	42	29	1	4	0	Eutheria	Eutheria	Metatheria,Eutheria
F092	24	0	0	0	24	1	0	3	20	19	3	0	0	0	Eutheria	Eutheria	Eutheria
CE1	6	0	0	0	6	2	0	4	0	0	4	0	0	0	Eutheria	Eutheria	Eutheria
F410	9	0	0	0	9	1	0	4	4	3	4	0	1	0	Eutheria	Eutheria	Eutheria
CE2	9	0	0	0	9	1	0	4	4	3	4	0	1	0	Eutheria	Eutheria	Eutheria
F223	101	1	0	1	99	0	0	85	14	13	82	0	1	1	Eutheria	Eutheria	Eutheria
F192	101	1	0	1	99	0	0	85	14	13	82	0	1	1	Eutheria	Eutheria	Eutheria
Cof60	80	3	0	0	77	0	0	6	71	69	4	0	2	0	Eutheria	Eutheria	Eutheria
F243	2	0	1	1	0	0	0	0	0	0	0	0	0	0	Metatheria	promiscuous	Monotremata,Metatheria
F202	2	0	0	2	0	0	0	0	0	0	0	0	0	0	Metatheria	Metatheria	Metatheria
F244	51	1	2	32	16	0	0	0	16	14	0	0	1	0	Metatheria	Metatheria	Metatheria,Eutheria
F117	51	1	2	32	16	0	0	0	16	14	0	0	1	0	Metatheria	Metatheria	Metatheria,Eutheria
F177	38	0	0	13	25	0	0	0	25	25	0	0	0	0	Eutheria	promiscuous	Metatheria,Eutheria
F156	6	0	0	6	0	0	0	0	0	0	0	0	0	0	Metatheria	Metatheria	Metatheria
F176	19	0	0	17	2	0	0	0	2	2	0	0	0	0	Metatheria	Metatheria	Metatheria,Eutheria
F236	38	0	0	0	38	0	0	9	29	24	1	0	0	5	Eutheria	Eutheria	Eutheria
F255	38	0	0	0	38	0	0	9	29	24	1	0	0	5	Eutheria	Eutheria	Eutheria
F280	38	0	0	0	38	0	0	9	29	24	1	0	0	5	Eutheria	Eutheria	Eutheria
F270	38	0	0	0	38	0	0	9	29	24	1	0	0	5	Eutheria	Eutheria	Eutheria
F175	21	0	0	7	14	0	0	0	14	14	0	0	0	0	Eutheria	Eutheria	Metatheria,Eutheria
F178	26	0	0	5	21	0	0	0	21	21	0	0	0	0	Eutheria	Eutheria	Metatheria,Eutheria
F023	37	1	0	0	36	0	0	4	32	32	4	0	0	0	Eutheria	Eutheria	Eutheria
F189	12	0	0	0	12	0	0	2	10	10	2	0	0	0	Eutheria	Eutheria	Eutheria
F007	46	0	0	0	46	0	0	4	42	38	3	0	4	1	Eutheria	Eutheria	Eutheria
F024	19	0	0	0	19	0	0	3	16	16	3	0	0	0	Eutheria	Eutheria	Eutheria
F098	2	0	0	0	2	0	0	0	2	2	0	0	0	0	Eutheria	Eutheria	Eutheria
F334	23	0	0	0	23	0	0	0	23	23	0	0	0	0	Eutheria	Eutheria	Eutheria
F099	12	0	0	0	12	0	0	0	12	12	0	0	0	0	Eutheria	Eutheria	Eutheria
F423	1182	29	0	0	1153	0	1	236	916	904	59	2	10	173	Eutheria	Eutheria	Eutheria
F462	1182	29	0	0	1153	0	1	236	916	904	59	2	10	173	Eutheria	Eutheria	Eutheria
F234	1182	29	0	0	1153	0	1	236	916	904	59	2	10	173	Eutheria	Eutheria	Eutheria
F094	1182	29	0	0	1153	0	1	236	916	904	59	2	10	173	Eutheria	Eutheria	Eutheria
Ctf67	1182	29	0	0	1153	0	1	236	916	904	59	2	10	173	Eutheria	Eutheria	Eutheria
F201	1182	29	0	0	1153	0	1	236	916	904	59	2	10	173	Eutheria	Eutheria	Eutheria
F401	1182	29	0	0	1153	0	1	236	916	904	59	2	10	173	Eutheria	Eutheria	Eutheria
F268	1182	29	0	0	1153	0	1	236	916	904	59	2	10	173	Eutheria	Eutheria	Eutheria
