ID	Name	Infraorder	Superfamily	Family	Subfamily	Tribe	Genus	Species	Subspecies	Reference
Bom32	Caurinus dectes	Neomecoptera		Boreidae			Caurinus	dectes		Russell, 1979
Bom119	Boreus brumalis	Neomecoptera		Boreidae			Boreus	brumalis		Fitch, 1847
Bom1380	Boreus brumalis	Neomecoptera		Boreidae			Boreus	brumalis		Fitch, 1847
Bom2081	Boreus californicus	Neomecoptera		Boreidae			Boreus	californicus		Packard, 1870
Bom0582	Boreus coloradensis	Neomecoptera		Boreidae			Boreus	coloradensis		Byers, 1955
Bom108	Boreus hyemalis	Neomecoptera		Boreidae			Boreus	hyemalis		Linnaeus, 1767
Bom138	Boreus nivoriundus	Neomecoptera		Boreidae			Boreus	nivoriundus		Fitch, 1847
Bom107	Boreus westwoodi	Neomecoptera		Boreidae			Boreus	westwoodi		Hagen, 1866
F166	Tunga libis	Pulicomorpha	Pulicoidea	Tungidae		Tungini	Tunga	libis		Smit, 1962
F021	Tunga monositus	Pulicomorpha	Pulicoidea	Tungidae		Tungini	Tunga	monositus		Barnes et Radovsky, 1969
F167	Tunga penetrans	Pulicomorpha	Pulicoidea	Tungidae		Tungini	Tunga	penetrans		Linnaeus, 1758
F281	Hectopsylla cypha	Pulicomorpha	Pulicoidea	Tungidae		Hectopsyllini	Hectopsylla	cypha		Jordan, 1942
F461	Hectopsylla pulex	Pulicomorpha	Pulicoidea	Tungidae		Hectopsyllini	Hectopsylla	pulex		Haller, 1880
F208	Xenopsylla robertsi	Pulicomorpha	Pulicoidea	Pulicidae		Xenopsyllini	Xenopsylla	robertsi		Jordan, 1936
F204	Xenopsylla conformis mycerini	Pulicomorpha	Pulicoidea	Pulicidae		Xenopsyllini	Xenopsylla	conformis	mycerini	Rothschild, 1904
F205	Xenopsylla dipodilli	Pulicomorpha	Pulicoidea	Pulicidae		Xenopsyllini	Xenopsylla	dipodilli		Smit, 1960
F206	Xenopsylla ramesis	Pulicomorpha	Pulicoidea	Pulicidae		Xenopsyllini	Xenopsylla	ramesis		Rothschild, 1904
